2022 Big Blue Alumni Invite,4/2/2022,"Decatur, IL"
2022 Billy Hayes Invitational,5/6/2022,"Bloomington, IN"
2022 DIII All-Ohio Outdoor Track & Field Championships,4/16/2022,"Delaware, OH"
2022 HCAC Outdoor Track & Field Championships,4/29/2022,"Hanover, IN"
2022 Huntington Invitational,4/14/2022,"Huntington, IN"
2022 Kentucky Track & Field Invitational,4/22/2022,"Lexington, KY"
'22 Rose-Hulman Early Bird Invitational,3/19/2022,"Terre Haute, IN"
2nd Annual Mike Becraft Invitational,4/22/2022,"Ada, OH"
Carius/Gregory Invitational 2022,5/12/2022,"Naperville, IL"
George Glass Invite,4/2/2022,"Upland, IN"
Grizzly Invitational,4/2/2022,"Franklin, IN"
GVSU 10 Event-Last Chance,5/10/2022,Last Chance
Hanover Invitational 2022,3/26/2022,"Hanover, IN"
Harrison Dillard Twilight,5/13/2022,"Berea, OH"
Huntsman Family Invite 2022,4/10/2022,"Crawfordsville, IN"
Indiana DIII Track and Field Championships,4/16/2022,"Greencastle, IN"
Jim Vargo Invitational,4/8/2022,"Louisville, KY"
Lee University Last Chance,5/14/2022,"Cleveland, TN"
Manchester Invitational,4/9/2022,"North Manchester, IN"
Margaret Simmons Invite,3/25/2022,"Murray, KY"
Marv Frye Invitational 2022,4/9/2022,"Delaware, OH"
MSJ April Invitational,4/23/2022,"Cincinnati, OH"
MSJ March Invitational,3/19/2022,"Cincinnati, OH"
North Central College Combined Events,5/16/2022,"Naperville, IL"
Oberlin College Spring Opener,4/2/2022,"Oberlin, OH"
Pacesetter Sports Invitational,4/8/2022,"Terre Haute, IN"
Pepsi Cumberlands Invitational and Distance Carnival,4/8/2022,"Williamsburg, KY"
Pioneer Invitational,3/18/2022,"Lexington, KY"
Rio Grande Last Chance Meet,5/13/2022,"Rio Grande, OH"
Rose-Hulman Twilight Invitational,4/22/2022,"Terre Haute, IN"
St. Francis Fighting Chance Invite,5/13/2022,"Joliet, IL"
Tennessee Challenge,5/7/2022,"Knoxville, TN"
UAB Green and Gold Invite,4/7/2022,"Birmingham, AL"
University of Charleston Golden Eagle Invitational,4/16/2022,"Charleston, WV"
Wash U Distance Carnival,4/1/2022,"St. Louis, MO"
Yellow Jacket Collegiate Outdoor,3/26/2022,"Cedarville, OH"
Emory Final Qualifier 2022,5/18/2022,"Atlanta, GA"
