Manchester,Woods,Jalen,1,12.72,Pioneer Invitational,3/18/2022,100 Meters,Run
Manchester,Kelly,Nick,1,13,Pioneer Invitational,3/18/2022,100 Meters,Run
Manchester,Powell,Joe,4,13.42,Pioneer Invitational,3/18/2022,100 Meters,Run
Transylvania,Rottinghaus,Brett,1,12.2,Pioneer Invitational,3/18/2022,100 Meters,Run
Transylvania,Lightbourn,Kirkland,1,12.78,Pioneer Invitational,3/18/2022,100 Meters,Run
Manchester,Salazar,Enrique,3,04:13.8,Pioneer Invitational,3/18/2022,1500 Meters,Run
Manchester,Havens,Connor,2,04:18.3,Pioneer Invitational,3/18/2022,1500 Meters,Run
Manchester,Stamm,Brayden,1,04:54.1,Pioneer Invitational,3/18/2022,1500 Meters,Run
Manchester,Miles,Benjamin,3,04:56.2,Pioneer Invitational,3/18/2022,1500 Meters,Run
Transylvania,Elrod,Garrett,2,04:15.6,Pioneer Invitational,3/18/2022,1500 Meters,Run
Transylvania,Kersting,Michael,3,04:25.9,Pioneer Invitational,3/18/2022,1500 Meters,Run
Transylvania,Nunn,Dalton,1,04:39.0,Pioneer Invitational,3/18/2022,1500 Meters,Run
Transylvania,Winter,Isaiah,3,04:39.7,Pioneer Invitational,3/18/2022,1500 Meters,Run
Manchester,Bronaugh,Tristen,2,24.42,Pioneer Invitational,3/18/2022,200 Meters,Run
Transylvania,Lightbourn,Kirkland,1,25.06,Pioneer Invitational,3/18/2022,200 Meters,Run
Transylvania,Stolz,Lennon,1,27.38,Pioneer Invitational,3/18/2022,200 Meters,Run
Manchester,Major,Justin,2,01:09.8,Pioneer Invitational,3/18/2022,400 Hurdles,Run
Manchester,Bronaugh,Tristen,2,52.86,Pioneer Invitational,3/18/2022,400 Meters,Run
Transylvania,Boling,Ike,2,52.24,Pioneer Invitational,3/18/2022,400 Meters,Run
Transylvania,Stolz,Lennon,1,01:00.9,Pioneer Invitational,3/18/2022,400 Meters,Run
Transylvania,Chandler,Cooper,1,16:57.7,Pioneer Invitational,3/18/2022,5000 Meters,Run
Transylvania,Meader,Seth,2,17:18.3,Pioneer Invitational,3/18/2022,5000 Meters,Run
Manchester,Salazar,Enrique,3,02:01.2,Pioneer Invitational,3/18/2022,800 Meters,Run
Manchester,Havens,Connor,2,02:11.1,Pioneer Invitational,3/18/2022,800 Meters,Run
Manchester,Stamm,Brayden,1,02:23.0,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Elrod,Garrett,2,02:01.8,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Very,Nate,1,02:06.8,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Kersting,Michael,3,02:10.1,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Nunn,Dalton,1,02:10.4,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Stiltner,Patrick,2,02:20.4,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Winter,Isaiah,3,02:20.5,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Peter,Daniel,4,02:36.1,Pioneer Invitational,3/18/2022,800 Meters,Run
Transylvania,Bogel,Jackson,1,02:51.0,Pioneer Invitational,3/18/2022,800 Meters,Run
Manchester,Macomber,Tim,1,40.48,Pioneer Invitational,3/18/2022,Discus,Throw
Manchester,Hendricks,Gabriel,3,38.61,Pioneer Invitational,3/18/2022,Discus,Throw
Manchester,Villafuerte,Benjamin,3,34.47,Pioneer Invitational,3/18/2022,Discus,Throw
Transylvania,Stegman,Luke,1,44.86,Pioneer Invitational,3/18/2022,Discus,Throw
Transylvania,Bender,Jake,1,28,Pioneer Invitational,3/18/2022,Discus,Throw
